dico,concelho,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,mais_recente,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020
"0505","IDANHA-A-NOVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0506","OLEIROS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0507","PENAMACOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0508","PROENÇA-A-NOVA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0509","SERTÃ",,,,,,,,,,,,,,,,,,,,,,,,,"3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0510","VILA DE REI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0511","VILA VELHA DE RÓDÃO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0601","ARGANIL",,,,,,,,,,,,,,,,,"3","3","3","3","4","4","4","6","6","6","6","6","6","6","7","7","7","9","8","8","8","8","8","8","8","8","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0602","CANTANHEDE",,,"4","4","7","8","8","11","15","18","19","22","22","22","22","24","26","28","28","28","27","31","34","38","38","40","43","43","39","39","43","43","43","71","50","50","50","50","51","51","51","51","62","62","62","63","63","16","64","64","65","65","65","65","65","66","66","68","68","18","19","68","69","69","69","69","71","71","71","71","71","71","71",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0603","COIMBRA","34","41","87","109","110","199","229","157","164","178","201","216","216","222","233","237","258","266","265","269","275","293","302","325","345","350","355","360","360","363","367","368","371","595","401","401","401","401","408","416","416","420","458","508","520","551","556","558","561","561","561","561","564","565","565","567","567","572","572","574","574","574","574","575","575","577","579","580","584","584","585","592","595",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0604","CONDEIXA-A-NOVA","3","3","4","5","6","13","15","19","20","24","28","29","29","29","36","36","38","38","40","41","41","43","45","49","53","60","60","60","57","57","61","61","60","155","68","68","68","68","64","64","64","65","71","135","142","142","142","142","143","143","143","143","144","144","144","144","145","154","154","154","154","154","154","154","154","155","155","155","155","155","155","155","155",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0605","FIGUEIRA DA FOZ",,,,"3","3","3","7","3","3","4","7","9","9","9","9","10","12","13","12","12","13","14","14","17","17","18","18","18","17","17","17","17","19","34","23","23","23","23","27","27","27","28","28","28","29","31","31","32","32","32","32","32","32","33","33","33","33","33","32","33","33","33","33","33","34","34","34","34","34","34","34","34","34",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0606","GÓIS",,,,,,,"3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0607","LOUSÃ",,,,,,"3","4","5","6","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","12","12","12","20","13","13","13","13","13","13","13","13","14","15","16","16","16","16","16","16","16","16","16","16","16","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0608","MIRA",,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","4","4","4","6","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0609","MIRANDA DO CORVO",,,,,,"3","4","3","5","6","6","6","6","6","7","7","8","8","8","8","8","8","9","11","11","11","12","12","12","12","13","13","12","17","13","13","13","13","14","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","17","17","17","17","17","17",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0610","MONTEMOR-O-VELHO",,,"4","8","8","10","12","12","13","13","14","14","14","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","30","16","16","16","16","15","15","15","15","18","18","22","25","25","25","25","25","26","26","26","26","26","27","27","28","28","29","29","29","30","30","30","30","30","30","30","30","30","30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0611","OLIVEIRA DO HOSPITAL",,,,,,,,,,,,,,"3",,,"3","4","4","5","6","6","7","7","8","10","10","10","11","11","12","12","12","27","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","16","16","16","20","20","20","21","22","22","22","22","22","22","22","26","26","27","27","27","27","27","27",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0612","PAMPILHOSA DA SERRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0613","PENACOVA",,,,"4","3","3","5","5","5","5","7","7","7","7","8","8","8","9","9","9","9","9","10","10","11","12","13","13","13","13","13","14","14","22","16","16","16","16","16","16","16","18","18","19","19","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","21","21","21","21",,"22","22","22","22","22","22","22","22",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0614","PENELA",,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","5","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0615","SOURE","3","3","7","7","7","6","8","7","8","8","8","8","8","8","8","8","10","11","12","12","12","13","13","17","18","18","18","18","18","18","19","19","19","25","21","21","21","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","22","22","22","23","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0616","TÁBUA",,,,,,,,,,,,,,,,,"3","4","4","4","15","16","20","22","22","22","24","24","32","32","34","34","34","35","33","33","33","33","31","30","30","31","33","33","33","33","33","33","33","33","33","33","33","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35","35",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0617","VILA NOVA DE POIARES",,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","7","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0701","ALANDROAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0702","ARRAIOLOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0703","BORBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0704","ESTREMOZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0705","ÉVORA","4","5","8","8","12","20","21","15","15","15","15","15","15","15","15","17","21","21","21","21","21","21","21","20","20","20","17","17","19","23","19","19","19","25","19","19","19","19","19","19","19","19","19","19","20","20","22","22","22","23","23","23","23","23","23","23","23","23","23","23","24","25","25","26","26","26","26","25","25","25","25","25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0706","MONTEMOR-O-NOVO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","4","5","8","5","5","5","5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0707","MORA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0708","MOURÃO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0709","PORTEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","6","3","3","3","3","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0710","REDONDO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0711","REGUENGOS DE MONSARAZ",,,,,"3","3","4","3","5","5","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7","6","6","6","7","5","5","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0712","VENDAS NOVAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","7","7","8","7","7","7","7","6","6","6","6","6","6","6","6","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0713","VIANA DO ALENTEJO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0714","VILA VIÇOSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0801","ALBUFEIRA","5","8","18","22","22","19","21","30","31","34","38","39","40","44","46","45","50","54","52","52","55","55","59","62","63","64","63","64","71","72","68","68","68","76","68","69","69","69","70","68","68","68","70","70","70","71","71","72","73","74","74","74","74","74","74","74","73","74","74","75","75","75","75","75","76","76","76","76","76","76","76","76","76",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0802","ALCOUTIM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0803","ALJEZUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0804","CASTRO MARIM",,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0805","FARO","8","9","25","26","26","20","21","26","28","32","34","36","37","39","39","39","42","44","42","50","52","52","53","54","58","55","56","56","54","55","56","58","58","66","60","60","60","60","62","66","66","66","66","60","61","60","60","60","59","59","60","60","60","64","64","63","63","63","62","62","66","66","66","66","66","66","67","66","66","66","66","66","66",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0806","LAGOA","3","3",,"4","3",,,"3","3","3","3",,"3","3","3",,"3",,"3","3","3","3","3","3","4","4","4","4","5","5","7","7","7","9","9","9","9","9","10","10","10","10","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0807","LAGOS",,,"4",,,"18","18",,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0808","LOULÉ",,,"8","14","13","15","17","23","25","25","26","26","33","39","41","41","41","42","41","42","42","43","48","52","52","52","53","53","60","60","60","60","60","70","61","61","61","61","61","61","62","62","62","62","62","62","62","62","62","64","64","64","64","64","63","63","63","63","63","64","64","64","64","64","64","64","64","65","66","70","70","70","70",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0809","MONCHIQUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0810","OLHÃO",,,,,,"3","3","3","5","5","7","7","7","9","9","9","9","10","11","11","12","12","12","13","13","13","14","14","13","13","15","15","15","14","15","15","15","15","13","13","13","13","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13","13","13","14","14","14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0811","PORTIMÃO","8","7","16","17","17","18","19","21","22","21","23","22","23","24","25","25","29","30","29","29","30","32","32","32","32","32","33","33","33","33","33","33","33","41","35","35","35","35","35","35","35","35","35","36","38","38","38","38","38","38","38","38","38","40","40","40","40","39","38","38","38","38","38","38","39","38","38","38","38","39","39","39","41",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0812","SÃO BRÁS DE ALPORTEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0813","SILVES","3","3","5","5","5","5","5","6","6","7","7","10","10","11","11","10","15","16","15","15","19","20","21","21","21","21","21","21","21","21","21","21","21","22","21","21","21","21","22","22","22","22","22","22","22","21","21","21","21","21","21","21","21","22","23","24","24","24","24","24",,"24","24","24","24","24","24","22","22","22","22","22","22",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0814","TAVIRA",,,,,,,,"3","3","3","3","6","11","24","24","24","25","25","26","27","29","30","30","30","35","33","33","34","32","32","32","32","32","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0815","VILA DO BISPO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0816","VILA REAL DE SANTO ANTÓNIO",,,"3","5","5","5","5","9","9","11","11","15","15","15","15","15","13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","14","14","13","17","17","17","17","12","12","12","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0901","AGUIAR DA BEIRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0902","ALMEIDA",,,,"3","3",,"6",,,,,,,,,,"5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","6","6","6","6","6","6","6","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0903","CELORICO DA BEIRA",,,,,,,,,,,,,,,,,"6","6","7","7","7","7","7","7","8","8","8","8","9","9","9","9","9","6","9","9","9","9","9","9","9","9","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0904","FIGUEIRA DE CASTELO RODRIGO",,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",,"3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0905","FORNOS DE ALGODRES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0906","GOUVEIA",,,,,,,,,,,"3",,,,,,"11","12","12","12","13","13","14","14","16","17","17","17","15","16","15","15","15","22","19","19","19","19","17","18","18","19","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0907","GUARDA","3","3",,,,,"4","3","3","3","4","4","4","5","3","3","14","14","15","16","16","16","16","17","18","18","18","18","19","18","20","20","20","25","20","20","20","20","20","20","20","20","21","21","21","20","20","21","20","20","21","22","22","24","24","24","24","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0908","MANTEIGAS",,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","7","3","3","3","3","3","3","3","3","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0909","MÊDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0910","PINHEL",,,,,,,,,,,,,,,,,"8","9","9","9","9","15","20","21","21","24","23","23","21","21","22","22","22","23","23","23","23","23","22","22","22","22","20","20","21","22","22","22","22","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0911","SABUGAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0912","SEIA",,,,,,,"4",,,,,,,,,,"5","5","5","5","5","5","5","5","7","8","8","8","8","8","8","8","8","13","9","9","10","10","13","13","13","13","13","13","14","14","14","14","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13","13",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0913","TRANCOSO",,,,,,,"5",,"3",,,,,,,"4","10","10","11","12","12","12","15","16","16","17","17","17","17","17","17","17","17","20","17","17","17","17","15","15","15","15","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","20","20","20","20","20","20","20",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0914","VILA NOVA DE FOZ CÔA",,,,,,,"19",,,,,,,,"7","7","69","70","70","70","68","68","72","72","76","84","82","82","79","79","79","79","79","72","80","80","80","80","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1001","ALCOBAÇA",,,,,,,,,"3","3","3","5","5","6","7","7","7","7","7","7","7","8","8","9","10","11","12","12","20","20","24","24","25","40","27","27","27","27","27","27","28","29","29","30","30","30","30","30","30","30","31","31","36","36","37","38","38","39","39","39","39","39","39","39","39","39","39","40","40","40","40","40","40",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1002","ALVAIÁZERE",,,"3","3","4","4","4","4","5","5","17","22","22","22","22","22","22","22","22","23","23","23","23","23","23","25","25","26","26","26","26","26","26","25","28","27","27","27","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","25","25",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1003","ANSIÃO",,,,,,,,,,,,"3","3","3","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","8","5","5","5","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","7","8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1004","BATALHA",,,,,,,,,,,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1005","BOMBARRAL",,,,,,,,,,,,"3","3","3","4","4","3","3",,,"3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","4","4","4","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1006","CALDAS DA RAINHA",,,,,"8","3","8",,,,,,,,,,"4","4","6","7","7","7","7","7","8","10","10","10","11","11","15","15","14","30","17","19","19","19","19","19","19","19","19","19","22","23","23","24","24","24","24","24","25","25","25","25","25","25","25","25","25","25","25","25","26","26","26","26","28","29","29","29","30",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1007","CASTANHEIRA DE PÊRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1008","FIGUEIRÓ DOS VINHOS",,,,,,,,,,,"3",,,"3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","9","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","7","7","9","9",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1009","LEIRIA",,,"7","7","7","10","10","6","18","19","21","22","22","22","25","25","29","32","36","38","38","43","44","47","51","53","54","54","58","59","61","63","64","84","64","64","64","64","70","72","74","74","79","79","79","79","79","79","79","79","79","79","79","79","79","79","80","80","80","80","80","80","81","82","82","83","84","84","84","84","84","84","84",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1010","MARINHA GRANDE",,,"6","6","7","7","7","7","8","9","9","9","10","10","11","11","11","10","10","12","12","12","12","13","14","14","14","14","14","14","14","14","15","18","16","16","16","16","16","16","16","16","18","18","18","17","17","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1011","NAZARÉ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1012","ÓBIDOS",,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1013","PEDRÓGÃO GRANDE",,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1014","PENICHE",,,,,,,"3",,"3","4","5","5","5","6","7","7","7","7","6","7","7","7","7","7","8","8","9","9","10","10","10","10","10","11","10","10","10","10","10","10","10","10","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","11","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1015","POMBAL","3","3","12","13","13","18","19","21","36","36","36","35","35","35","34","34","31","31","31","31","32","33","31","31","37","38","39","39","38","38","38","39","39","61","49","49","49","49","52","52","52","52","57","57","57","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","61","61",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1016","PORTO DE MÓS",,,,,,,,,,,,,,,,,"3","3","3","4","4","4","4","4","6","6","6","6","6","6","6","6","6","9","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9",,,,,,,,,,,,,,,,,,,,,,,,,,,
