"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Ago-15","203","5","23"
"Ago-16","238","6","18"
"Ago-17","237","6","20"
"Ago-18","236","4","34"
"Ago-19","231","3","24"
"Ago-20","239","5","21"
"Ago-21","262","2","23"
"Ago-22","238","3","29"
"Ago-23","261","4","37"
"Ago-24","281","3","25"
"Ago-25","229","3","22"
"Ago-26","259","3","29"
"Ago-27","230","2","25"
"Ago-28","240","1","33"
"Ago-29","252","7","29"
"Ago-30","244","3","25"
"Ago-31","219","6","24"
"Set-01","231","3","29"
"Set-02","240","5","28"
"Set-03","255","4","25"
"Set-04","257","3","23"
"Set-05","256","5","24"
"Set-06","240","6","20"
"Set-07","243","3","20"
"Set-08","253","3","31"
"Set-09","240","3","15"
"Set-10","214","4","25"
"Set-11","230","3","25"
"Set-12","254","1","24"
"Set-13","216","4","29"
"Set-14","258","3","26"
"Set-15","212","3","29"
"Set-16","269","6","20"
"Set-17","228","4","28"
"Set-18","236","4","26"
"Set-19","245","3","16"
"Set-20","264","8","21"
"Set-21","244","4","30"
"Set-22","230","2","21"
"Set-23","255","4","29"
"Set-24","217","6","15"
"Set-25","227","7","19"
"Set-26","231","7","24"
"Set-27","224","5","25"
"Set-28","245","6","22"
"Set-29","239","9","18"
"Set-30","269","4","20"
"Out-01","247","1","23"
"Out-02","256","0","30"
"Out-03","228","3","31"
"Out-04","262","5","25"
"Out-05","248","1","17"
"Out-06","217","6","27"
"Out-07","237","4","25"
"Out-08","254","4","20"
"Out-09","249","3","19"
"Out-10","241","7","23"
"Out-11","224","3","21"
"Out-12","245","3","15"
"Out-13","249","3","20"
"Out-14","243","1","26"
"Out-15","221","3","25"
"Out-16","232","4","26"
"Out-17","270","3","25"
"Out-18","244","5","33"
"Out-19","254","4","30"
"Out-20","244","6","28"
"Out-21","260","9","29"
"Out-22","269","3","32"
"Out-23","283","2","25"
"Out-24","266","4","26"
"Out-25","271","2","29"
"Out-26","273","5","25"
"Out-27","281","7","33"
"Out-28","292","1","26"
"Out-29","262","4","25"
"Out-30","295","3","28"
"Out-31","277","3","25"
"Nov-01","280","7","23"
"Nov-02","270","3","24"
"Nov-03","262","5","32"
"Nov-04","285","5","31"
"Nov-05","280","1","20"
"Nov-06","264","2","33"
"Nov-07","265","5","30"
"Nov-08","269","4","41"
"Nov-09","244","5","41"
"Nov-10","250","3","33"
"Nov-11","254","2","51"
"Nov-12","282","5","23"
"Nov-13","265","3","31"
"Nov-14","270","2","43"
"Nov-15","281","3","37"
"Nov-16","272","4","24"
"Nov-17","275","6","37"
"Nov-18","266","6","29"
"Nov-19","311","1","40"
"Nov-20","263","6","40"
"Nov-21","295","4","29"
"Nov-22","301","4","42"
"Nov-23","275","0","34"
"Nov-24","282","1","21"
"Nov-25","294","3","33"
"Nov-26","310","2","23"
"Nov-27","296","3","28"
"Nov-28","289","1","29"
"Nov-29","293","6","25"
"Nov-30","307","4","14"
"Dez-01","265","4","20"
"Dez-02","270","4","36"
"Dez-03","270","4","26"
"Dez-04","248","3","20"
"Dez-05","311","6","24"
"Dez-06","278","10","24"
"Dez-07","276","3","26"
"Dez-08","267","3","30"
"Dez-09","301","5","26"
"Dez-10","288","7","40"
"Dez-11","298","2","33"
"Dez-12","301","2","33"
"Dez-13","270","3","26"
"Dez-14","300","3","29"
"Dez-15","300","6","29"
"Dez-16","303","2","30"
"Dez-17","239","3","25"
"Dez-18","274","4","39"
"Dez-19","310","7","39"
"Dez-20","301","1","35"
"Dez-21","310","4","28"
"Dez-22","309","4","32"
"Dez-23","288","3","31"
"Dez-24","298","5","32"
"Dez-25","285","3","41"
"Dez-26","272","4","38"
"Dez-27","316","2","32"
"Dez-28","285","3","30"
"Dez-29","310","7","37"
"Dez-30","300","7","32"
"Dez-31","300","9","36"
