country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths
Brazil,PA,Alenquer,1500404,1,66,1.76090,116.21969,0.01515,MS,2020-05-29,0,0
Brazil,RN,Alexandria,2400505,1,5,7.36540,36.82699,0.20000,MS,2020-05-29,0,0
Brazil,GO,Alexânia,5200308,0,4,0.00000,14.46498,0.00000,SES,2020-05-29,2,0
Brazil,MG,Alfenas,3101607,0,13,0.00000,16.25081,0.00000,SES,2020-05-29,1,0
Brazil,ES,Alfredo Chaves,3200300,2,67,13.69769,458.87268,0.02985,MS,2020-05-29,0,0
Brazil,SP,Alfredo Marcondes,3500808,1,2,24.00384,48.00768,0.50000,SES,2020-05-29,0,0
Brazil,MG,Alfredo Vasconcelos,3101631,1,2,14.47807,28.95613,0.50000,SES,2020-05-29,0,0
Brazil,SC,Alfredo Wagner,4200705,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PB,Alhandra,2500601,4,126,20.42067,643.25097,0.03175,MS,2020-05-29,13,0
Brazil,TO,Aliança do Tocantins,1700350,0,3,0.00000,55.65863,0.00000,MS,2020-05-29,0,0
Brazil,PE,Aliança,2600708,13,56,33.86651,145.88652,0.23214,SES,2020-05-29,0,0
Brazil,BA,Almadina,2900900,0,2,0.00000,36.60322,0.00000,MS,2020-05-29,0,0
Brazil,TO,Almas,1700400,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PA,Almeirim,1500503,1,18,2.93178,52.77200,0.05556,MS,2020-05-29,0,0
Brazil,MG,Almenara,3101706,0,10,0.00000,23.86863,0.00000,SES,2020-05-29,0,0
Brazil,RN,Almino Afonso,2400604,0,1,0.00000,21.11932,0.00000,MS,2020-05-29,0,0
Brazil,PR,Almirante Tamandaré,4100400,0,21,0.00000,17.70314,0.00000,SES,2020-05-29,1,0
Brazil,GO,Aloândia,5200506,0,1,0.00000,50.12531,0.00000,SES,2020-05-29,0,0
Brazil,MG,Alpercata,3101805,0,3,0.00000,40.40948,0.00000,SES,2020-05-29,0,0
Brazil,RS,Alpestre,4300505,0,10,0.00000,159.79546,0.00000,SES,2020-05-29,0,0
Brazil,MG,Alpinópolis,3101904,0,1,0.00000,5.03702,0.00000,SES,2020-05-29,0,0
Brazil,RO,Alta Floresta D'Oeste,1100015,0,3,0.00000,13.07474,0.00000,MS,2020-05-29,0,0
Brazil,MT,Alta Floresta,5100250,1,32,1.93117,61.79754,0.03125,MS,2020-05-29,0,0
Brazil,SP,Altair,3500907,0,1,0.00000,24.03846,0.00000,SES,2020-05-29,0,0
Brazil,MA,Altamira do Maranhão,2100402,1,1,12.30315,12.30315,1.00000,MS,2020-05-29,0,0
Brazil,PR,Altamira do Paraná,4100459,0,1,0.00000,51.49331,0.00000,SES,2020-05-29,1,0
Brazil,PA,Altamira,1500602,3,367,2.61794,320.26110,0.00817,MS,2020-05-29,4,0
Brazil,MG,Alterosa,3102001,0,1,0.00000,6.91276,0.00000,SES,2020-05-29,0,0
Brazil,PE,Altinho,2600807,0,13,0.00000,56.59063,0.00000,SES,2020-05-29,0,0
Brazil,SP,Altinópolis,3501004,0,3,0.00000,18.53683,0.00000,SES,2020-05-29,0,0
Brazil,MA,Alto Alegre do Maranhão,2100436,3,120,11.08934,443.57373,0.02500,MS,2020-05-29,0,0
Brazil,MA,Alto Alegre do Pindaré,2100477,0,74,0.00000,231.83684,0.00000,MS,2020-05-29,0,0
Brazil,RO,Alto Alegre dos Parecis,1100379,0,4,0.00000,30.20920,0.00000,MS,2020-05-29,0,0
Brazil,RR,Alto Alegre,1400050,3,59,19.34236,380.39974,0.05085,MS,2020-05-29,0,0
Brazil,SP,Alto Alegre,3501103,1,1,24.39619,24.39619,1.00000,SES,2020-05-29,0,0
Brazil,MT,Alto Araguaia,5100300,1,10,5.25100,52.50998,0.10000,MS,2020-05-29,0,0
Brazil,SC,Alto Bela Vista,4200754,0,4,0.00000,206.50490,0.00000,MS,2020-05-29,0,0
Brazil,MT,Alto Boa Vista,5100359,1,1,14.65846,14.65846,1.00000,MS,2020-05-29,0,0
Brazil,MT,Alto Garças,5100409,0,1,0.00000,8.31255,0.00000,MS,2020-05-29,0,0
Brazil,MG,Alto Jequitibá,3153509,1,8,12.02357,96.18853,0.12500,SES,2020-05-29,0,0
Brazil,PI,Alto Longá,2200301,0,9,0.00000,62.91946,0.00000,MS,2020-05-29,0,0
Brazil,MT,Alto Paraguai,5100508,0,1,0.00000,8.80592,0.00000,MS,2020-05-29,0,0
Brazil,PR,Alto Paraná,4100608,0,9,0.00000,60.93433,0.00000,SES,2020-05-29,1,0
Brazil,GO,Alto Paraíso de Goiás,5200605,0,0,0.00000,0.00000,0.00000,SES,2020-05-29,0,0
Brazil,PR,Alto Paraíso,4128625,0,1,0.00000,36.48304,0.00000,SES,2020-05-29,0,0
Brazil,RO,Alto Paraíso,1100403,1,7,4.66679,32.66754,0.14286,MS,2020-05-29,1,0
Brazil,MA,Alto Parnaíba,2100501,0,14,0.00000,125.11171,0.00000,MS,2020-05-29,0,0
Brazil,MG,Alto Rio Doce,3102100,0,1,0.00000,9.09091,0.00000,SES,2020-05-29,0,0
Brazil,ES,Alto Rio Novo,3200359,1,1,12.76161,12.76161,1.00000,MS,2020-05-29,0,0
Brazil,CE,Alto Santo,2300705,1,21,5.83226,122.47755,0.04762,MS,2020-05-29,0,0
Brazil,RN,Alto do Rodrigues,2400703,4,37,27.53114,254.66309,0.10811,MS,2020-05-29,0,0
Brazil,PI,Altos,2200400,1,49,2.46767,120.91600,0.02041,MS,2020-05-29,0,0
Brazil,SP,Alumínio,3501152,1,12,5.36826,64.41915,0.08333,SES,2020-05-29,1,0
Brazil,MG,Alvarenga,3102209,0,21,0.00000,537.49680,0.00000,SES,2020-05-29,1,0
Brazil,AM,Alvarães,1300029,7,172,43.63818,1072.25235,0.04070,MS,2020-05-29,32,0
Brazil,RO,Alvorada D'Oeste,1100346,0,3,0.00000,20.81743,0.00000,MS,2020-05-29,0,0
Brazil,PI,Alvorada do Gurguéia,2200459,0,1,0.00000,18.45359,0.00000,MS,2020-05-29,0,0
Brazil,PR,Alvorada do Sul,4100806,0,6,0.00000,52.60389,0.00000,SES,2020-05-29,0,0
Brazil,RS,Alvorada,4300604,3,55,1.42650,26.15249,0.05455,SES,2020-05-29,13,0
Brazil,TO,Alvorada,1700707,0,8,0.00000,95.10223,0.00000,MS,2020-05-29,0,0
Brazil,MG,Além Paraíba,3101508,1,44,2.82789,124.42735,0.02273,SES,2020-05-29,2,0
Brazil,RR,Amajari,1400027,2,29,15.62988,226.63332,0.06897,MS,2020-05-29,0,0
Brazil,MS,Amambai,5000609,0,5,0.00000,12.69164,0.00000,MS,2020-05-29,0,0
Brazil,PR,Amaporã,4100905,0,18,0.00000,287.67780,0.00000,SES,2020-05-29,0,0
Brazil,MA,Amapá do Maranhão,2100550,0,2,0.00000,28.72738,0.00000,MS,2020-05-29,0,0
Brazil,AP,Amapá,1600105,3,64,32.93446,702.60182,0.04688,SES,2020-05-29,6,1
Brazil,PE,Amaraji,2600906,8,36,35.04315,157.69416,0.22222,SES,2020-05-29,0,0
Brazil,GO,Amaralina,5200829,0,2,0.00000,52.46590,0.00000,SES,2020-05-29,0,0
Brazil,MA,Amarante do Maranhão,2100600,1,190,2.41342,458.54954,0.00526,MS,2020-05-29,0,0
Brazil,PI,Amarante,2200509,0,6,0.00000,34.09478,0.00000,MS,2020-05-29,0,0
Brazil,BA,Amargosa,2901007,1,10,2.68521,26.85213,0.10000,MS,2020-05-29,0,0
Brazil,AM,Amaturá,1300060,6,273,52.01110,2366.50485,0.02198,MS,2020-05-29,31,0
Brazil,SP,Americana,3501608,6,111,2.50420,46.32779,0.05405,SES,2020-05-29,2,0
Brazil,RS,Ametista do Sul,4300646,0,4,0.00000,53.98839,0.00000,SES,2020-05-29,1,0
Brazil,CE,Amontada,2300754,4,109,9.20556,250.85151,0.03670,MS,2020-05-29,0,0
Brazil,GO,Amorinópolis,5200902,0,2,0.00000,63.97953,0.00000,SES,2020-05-29,0,0
Brazil,SE,Amparo de São Francisco,2800100,0,4,0.00000,168.49200,0.00000,MS,2020-05-29,0,0
Brazil,PB,Amparo,2500734,0,12,0.00000,536.19303,0.00000,MS,2020-05-29,1,0
Brazil,SP,Amparo,3501905,1,35,1.38514,48.47981,0.02857,SES,2020-05-29,5,0
Brazil,PR,Ampére,4101002,1,6,5.22139,31.32832,0.16667,SES,2020-05-29,1,0
Brazil,BA,Amélia Rodrigues,2901106,0,16,0.00000,63.73994,0.00000,MS,2020-05-29,0,0
Brazil,BA,América Dourada,2901155,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,SP,Américo Brasiliense,3501707,2,37,4.93778,91.34900,0.05405,SES,2020-05-29,1,0
Brazil,SP,Américo de Campos,3501806,0,3,0.00000,50.25967,0.00000,SES,2020-05-29,0,0
Brazil,AL,Anadia,2700201,1,29,5.69963,165.28926,0.03448,SES,2020-05-29,0,0
Brazil,BA,Anagé,2901205,1,1,4.54442,4.54442,1.00000,MS,2020-05-29,0,0
Brazil,PR,Anahy,4101051,0,5,0.00000,178.50768,0.00000,SES,2020-05-29,1,0
Brazil,MA,Anajatuba,2100709,4,59,14.92370,220.12461,0.06780,MS,2020-05-29,0,0
Brazil,PA,Anajás,1500701,2,117,6.83130,399.63111,0.01709,MS,2020-05-29,4,0
Brazil,AM,Anamã,1300086,0,178,0.00000,1307.47760,0.00000,MS,2020-05-29,10,0
Brazil,PA,Ananindeua,1500800,235,2593,44.28965,488.69389,0.09063,MS,2020-05-29,26,2
Brazil,TO,Ananás,1701002,0,2,0.00000,20.94460,0.00000,MS,2020-05-29,0,0
Brazil,PA,Anapu,1500859,1,87,3.58551,311.93976,0.01149,MS,2020-05-29,1,0
Brazil,MA,Anapurus,2100808,1,158,6.35647,1004.32240,0.00633,MS,2020-05-29,0,0
Brazil,MS,Anastácio,5000708,0,1,0.00000,3.97852,0.00000,MS,2020-05-29,0,0
Brazil,ES,Anchieta,3200409,1,87,3.41728,297.30376,0.01149,MS,2020-05-29,0,0
Brazil,SC,Anchieta,4200804,0,6,0.00000,106.42072,0.00000,MS,2020-05-29,0,0
Brazil,PR,Andirá,4101101,0,7,0.00000,34.94583,0.00000,SES,2020-05-29,0,0
